date_id,full_date,year,quarter,month,month_name,week,day_of_week,day_name,is_weekend
110,2023-04-20,2023,2,4,April,16,3,Thursday,0
111,2023-04-21,2023,2,4,April,16,4,Friday,0
112,2023-04-22,2023,2,4,April,16,5,Saturday,1
113,2023-04-23,2023,2,4,April,16,6,Sunday,1
114,2023-04-24,2023,2,4,April,17,0,Monday,0
115,2023-04-25,2023,2,4,April,17,1,Tuesday,0
116,2023-04-26,2023,2,4,April,17,2,Wednesday,0
117,2023-04-27,2023,2,4,April,17,3,Thursday,0
118,2023-04-28,2023,2,4,April,17,4,Friday,0
119,2023-04-29,2023,2,4,April,17,5,Saturday,1
120,2023-04-30,2023,2,4,April,17,6,Sunday,1
121,2023-05-01,2023,2,5,May,18,0,Monday,0
122,2023-05-02,2023,2,5,May,18,1,Tuesday,0
123,2023-05-03,2023,2,5,May,18,2,Wednesday,0
124,2023-05-04,2023,2,5,May,18,3,Thursday,0
125,2023-05-05,2023,2,5,May,18,4,Friday,0
126,2023-05-06,2023,2,5,May,18,5,Saturday,1
127,2023-05-07,2023,2,5,May,18,6,Sunday,1
128,2023-05-08,2023,2,5,May,19,0,Monday,0
129,2023-05-09,2023,2,5,May,19,1,Tuesday,0
130,2023-05-10,2023,2,5,May,19,2,Wednesday,0
131,2023-05-11,2023,2,5,May,19,3,Thursday,0
132,2023-05-12,2023,2,5,May,19,4,Friday,0
133,2023-05-13,2023,2,5,May,19,5,Saturday,1
134,2023-05-14,2023,2,5,May,19,6,Sunday,1
135,2023-05-15,2023,2,5,May,20,0,Monday,0
136,2023-05-16,2023,2,5,May,20,1,Tuesday,0
137,2023-05-17,2023,2,5,May,20,2,Wednesday,0
138,2023-05-18,2023,2,5,May,20,3,Thursday,0
139,2023-05-19,2023,2,5,May,20,4,Friday,0
140,2023-05-20,2023,2,5,May,20,5,Saturday,1
141,2023-05-21,2023,2,5,May,20,6,Sunday,1
142,2023-05-22,2023,2,5,May,21,0,Monday,0
143,2023-05-23,2023,2,5,May,21,1,Tuesday,0
144,2023-05-24,2023,2,5,May,21,2,Wednesday,0
145,2023-05-25,2023,2,5,May,21,3,Thursday,0
146,2023-05-26,2023,2,5,May,21,4,Friday,0
147,2023-05-27,2023,2,5,May,21,5,Saturday,1
148,2023-05-28,2023,2,5,May,21,6,Sunday,1
149,2023-05-29,2023,2,5,May,22,0,Monday,0
150,2023-05-30,2023,2,5,May,22,1,Tuesday,0
151,2023-05-31,2023,2,5,May,22,2,Wednesday,0
152,2023-06-01,2023,2,6,June,22,3,Thursday,0
153,2023-06-02,2023,2,6,June,22,4,Friday,0
154,2023-06-03,2023,2,6,June,22,5,Saturday,1
155,2023-06-04,2023,2,6,June,22,6,Sunday,1
156,2023-06-05,2023,2,6,June,23,0,Monday,0
157,2023-06-06,2023,2,6,June,23,1,Tuesday,0
158,2023-06-07,2023,2,6,June,23,2,Wednesday,0
159,2023-06-08,2023,2,6,June,23,3,Thursday,0
160,2023-06-09,2023,2,6,June,23,4,Friday,0
161,2023-06-10,2023,2,6,June,23,5,Saturday,1
162,2023-06-11,2023,2,6,June,23,6,Sunday,1
